,Scope,Функціонал /Блок,Епік,Модуль,Вимога,Важливість,Покриття вимоги,Пропозиція по рішенню,Оцінка БА (год),Оцінка Розробників (год),Use Case,Коментарі(Деталі GAP та ризики),Статус реалізації,MVP - Stage 1 - Stage 2 - Нові потреби - Не потрібно - Зміна потреб,Примітки БА,Примітки щодо реалізації з моделем Appoitments,Коментарі та побажання замовника
,9. Склад та Логістика (WMS),Складські операції,Управління складами,stock,Оформлення списання товарів через псування або пошкодження.,Дуже важливо,Стандартний функціонал,"Використовувати стандартний функціонал ""Брак"" (Scrap Orders, модель stock.scrap). Цей механізм дозволяє обрати товар, кількість та локацію, з якої він списується. При підтвердженні операції товар списується зі складських залишків на спеціальну віртуальну локацію ""Scrap"", що дозволяє вести окремий облік таких втрат.","0,5",0,UC-FR6.4.3,"GAP: Відсутній. Це базовий функціонал модуля stock.    Коментар: Важливо правильно налаштувати права доступу, щоб тільки уповноважені особи (товарознавці) могли створювати документи списання.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Складські операції,Управління складами,stock,"Документальне оформлення видачі товарів для внутрішніх потреб компанії (напр., канцтовари для офісу, продукти для кухні персоналу).",Дуже важливо,Стандартний функціонал,"Налаштувати окремий тип операцій ""Внутрішнє споживання"" та віртуальну локацію-одержувач ""Внутрішні потреби"" (Internal Usage). Видача товарів буде оформлюватись через стандартний документ внутрішнього переміщення (stock.picking) на цю локацію. Це дозволить чітко відокремити такі операції від продажів чи списань через псування.",1,0,UC-FR6.4.3,"GAP: Відсутній. Odoo надає всі інструменти для реалізації цього процесу через конфігурацію.    Ризик: Операційний. Персонал може плутати ""Списання через брак"" та ""Внутрішнє споживання"". Необхідно чітко прописати інструкції та навчити персонал, коли який документ використовувати для коректного обліку витрат.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Складські операції,Управління складами,stock,"Оформлення недостач (або надлишків), виявлених за результатами інвентаризації.",Критично,Стандартний функціонал,"Використовувати стандартний механізм ""Коригування запасів"" (Inventory Adjustments). Цей процес є частиною юзкейсу UC-FR6.4.5 (Проведення інвентаризації). Після введення фактичних залишків система автоматично розраховує розбіжності та створює складську операцію для їх вирівнювання.",0,0,"UC-FR6.4.3, UC-FR6.4.5","GAP: Відсутній. Це ключова частина функціоналу інвентаризації в Odoo.    Коментар: Дана вимога тісно пов'язана і фактично є наслідком UC-FR6.4.5 ""Проведення інвентаризації"". Недоцільно розглядати її окремо від повного процесу інвентаризації.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Складські операції,Управління складами,stock,Документальне оформлення переміщення товарів між внутрішніми складами/локаціями.,Критично,Стандартний функціонал,"Використовувати стандартний механізм внутрішніх переміщень (stock.picking).  1. Налаштувати окремий ""Тип Операції"" для внутрішніх переміщень.  2. Товарознавець створює документ цього типу, вказуючи локацію-відправника, локацію-одержувача, товари та їх кількість.  3. Після підтвердження документа система автоматично оновлює залишки на обох локаціях.","0,5",0,UC-FR6.4.4,"GAP: Відсутній. Це одна з фундаментальних функцій модуля stock в Odoo.    Коментарі/Ключові моменти:  1. Конфігурація, а не розробка: Вся робота полягає в правильному налаштуванні ""Типів операцій"" для розмежування бізнес-процесів (надходження, внутрішні переміщення, відвантаження).  2. Гнучкість: Система дозволяє налаштовувати як прості однокрокові переміщення, так і складніші багатокрокові (через транзитну локацію), якщо це буде потрібно в майбутньому.    Ризик: Операційний. Ризик полягає в тому, що персонал може помилково використовувати не той тип операції, що призведе до плутанини в обліку. Вирішується чіткими інструкціями та налаштуванням прав доступу",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Інвентаризація,Управління складами,"stock, barcodes","Проведення інвентаризації, порівняння фактичних залишків із системними та документування розбіжностей.",Критично,Стандартний функціонал,"Використовувати стандартний механізм ""Коригування запасів"" (Inventory Adjustments):  1. Ініціювати інвентаризацію для конкретної локації або групи товарів.  2. Ввести фактичну кількість товарів (руками або за допомогою сканера штрих-кодів).  3. Після завершення підрахунку підтвердити операцію. Система автоматично розрахує розбіжності (недостачі/надлишки) та створить коригувальні складські документи для вирівнювання залишків.",1,0,UC-FR6.4.5,"GAP: Відсутній. Це базовий, потужний та гнучкий функціонал Odoo.    Коментарі/Ключові моменти:  1. Організаційний процес: Головний виклик не технічний, а організаційний. Необхідно розробити процедуру ""заморозки"" операцій на локації на час проведення інвентаризації, щоб уникнути розбіжностей через паралельні продажі/переміщення.  2. Навчання: Персонал має бути навчений коректно працювати з частковими інвентаризаціями, щоб уникнути випадкового списання неперерахованих товарів.    Ризик: Операційний. Неправильне проведення процедури інвентаризації може призвести до значних помилок у складських залишках. Ризик мінімізується чіткими інструкціями та навчанням персоналу.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Управління каталогом,Управління каталогом і цінами,product,"Управління специфічними атрибутами товару (ознака фіскальності, акцизного товару).",Дуже важливо,Кастомізація,Закривається інтеграцією з Checkbox,"0,5",1,UC-FR6.4.6,"GAP: Odoo ""з коробки"" не має полів для українських фіскальних/акцизних ознак, які є обов'язковими для коректної роботи модуля фіскалізації.    Ризик: Без цих полів буде неможливо автоматично відрізнити фіскальні операції від нефіскальних, що унеможливить коректну інтеграцію з ПРРО.",Не реалізовано,MVP,Блокер - інтеграція з Checkbox,,
,9. Склад та Логістика (WMS),Управління каталогом,Управління каталогом і цінами,"product, sale, purchase","Створення та управління базовою інформацією про товари/послуги (назва, тип, категорія, ціни, штрих-код, одиниці виміру, постачальники).",Критично,Стандартний функціонал,"Використовувати стандартну картку товару (product.template), яка містить всі необхідні поля:  name, type, categ_id  list_price (ціна продажу), standard_price (собівартість)  uom_id (одиниця виміру)  barcode  seller_ids (для постачальників).",2,0,UC-FR6.4.6,"GAP: Відсутній.    Коментарі: Це фундаментальний функціонал Odoo. Ключовим є не технічна реалізація, а розробка єдиних правил та класифікаторів для ведення каталогу (ієрархія категорій, правила найменування тощо) та якісна міграція початкових даних.    Ризик: Операційний. Неконсистентне заповнення каталогу призведе до хаосу в обліку, аналітиці та звітності.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Виробництво (Рецептури),Управління складами / Виробництво,"mrp, stock, product",Створення та управління ієрархічними рецептурами (специфікаціями) для автоматичного розрахунку собівартості та подальшого списання компонентів.,Критично,Стандартний функціонал,"Використовувати стандартний модуль Виробництво (mrp) та його функціонал Специфікації (Bill of Materials, BoM).  1. Для кожної страви/напівфабрикату створюється BoM, де перераховуються інгредієнти та їх кількість.  2. Для автоматичного списання при продажу використовується тип BoM ""Набір"" (Kit).  3. Система автоматично розраховує планову собівартість на основі вартості компонентів.",2,0,UC-FR6.4.8,"GAP: Відсутній. Функціонал повністю покривається стандартними можливостями Odoo.    Коментарі: Це ключовий функціонал для контролю фудкосту. Його реалізація вимагає встановлення та конфігурації модуля mrp.    Ризик: Операційний, ризик даних. Найбільший ризик полягає в неточності самих рецептур. Будь-яка помилка в калькуляційній карті призведе до некоректного списання запасів та невірних даних про собівартість. Потрібен жорсткий процес контролю за актуальністю та точністю рецептур.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Касові операції,Управління фінансами / Каса,account,Базовий облік касових операцій (введення/виведення готівки) з прив'язкою до кас та контрагентів.,Критично,Стандартний функціонал,"Використовувати стандартний об'єкт account.payment та account.journal типу 'Готівка'. Для кожної фізичної каси (напр., 'Каса Рецепції 1') створюється окремий бухгалтерський журнал. Операції ПКО/ВКО реалізуються через створення платежів типу 'Вхідний'/'Вихідний'.","0,5",0,UC-FR6.5.1,"GAP: Відсутній для базової логіки. Odoo повністю підтримує облік руху готівки по касах, відстеження залишків та формування відповідних бухгалтерських проведень. Основний розрив полягає не у функціоналі, а в термінології та відсутності локалізованих друкованих форм, що розглядається в окремій вимозі.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Касові операції (UX/UI),"Управління фінансами / Каса, UX/UI",termi_cash_desk_ui ,Створення спрощеного інтерфейсу касових операцій для адміністратора рецепції.,Дуже важливо,Кастомізація,"Створити окреме меню для адміністратора рецепції. Замість стандартної форми account.payment розробити спрощений майстер (wizard), який буде запитувати лише мінімум інформації (сума, контрагент, підстава) і на основі цього створювати запис account.payment у фоновому режимі, автоматично підставляючи потрібну касу (журнал).",1,8,UC-FR6.5.1,"GAP: Стандартний інтерфейс бухгалтерії (account.payment) може бути занадто складним та містити зайві поля для адміністратора рецепції, що підвищує ризик людських помилок.    Ризик: Спрощення не повинно призвести до втрати важливої аналітичної інформації. Потрібно чітко визначити, які поля будуть заповнюватись автоматично за замовчуванням.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Касові операції (Локалізація),"Управління фінансами / Каса, Локалізація",termi_localization_ua ,Друк уніфікованих форм Прибуткового (форма КО-1) та Видаткового (форма КО-2) касових ордерів.,Критично,Розробка,"1. Створити кастомні звіти (QWeb reports) для моделі account.payment, які будуть генерувати PDF-файли у форматі, що відповідає державним стандартам України для форм КО-1 та КО-2.  2. Додати кнопки ""Друк ПКО"" / ""Друк ВКО"" на форму платежу для зручного виклику цих звітів.  3. Реалізувати логіку наскрізної нумерації ордерів в межах каси та періоду.",2,15,UC-FR6.5.1,GAP: Критичний розрив для відповідності законодавству України. Odoo Community не має вбудованих друкованих форм ПКО/ВКО. Без цієї розробки компанія не зможе вести офіційний касовий облік.    Ризик: Будь-які зміни в законодавстві щодо формату касових документів вимагатимуть оновлення цих звітів у майбутньому.,Не реалізовано,MVP,,,
,10. Фінанси та Бухгалтерія,Внутрішні перекази,Управління фінансами / Каса,account,Оформлення переміщення готівки між касами та до банку (однокроковий процес).,Критично,Стандартний функціонал,"Використовувати стандартний механізм ""Внутрішні перекази"" (account.internal.transfer). Це дозволяє створювати єдиний документ для переміщення коштів між двома бухгалтерськими журналами (напр., 'Каса 1' -> 'Каса 2' або 'Каса 1' -> 'Банк').","0,5",0,UC-FR6.5.2,"GAP: Відсутній для простого, однокрокового переміщення.    Коментар: Стандартний механізм є атомарним — кошти списуються та зараховуються одночасно. Він не підтримує стан ""гроші в дорозі"", що є ризиком для контролю, якщо інкасація займає тривалий час або виконується різними людьми.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Банківські операції,Управління фінансами / Банк,account,"Імпорт та ручне/автоматичне узгодження (реконсиліація) банківських виписок зі стандартними документами системи (рахунками, платежами).",Критично,Стандартний функціонал,"Використовувати стандартний механізм account.bank.statement. Odoo підтримує імпорт у форматах CSV, OFX, QIF, CAMT та має потужний візуальний інструмент для автоматичного та ручного узгодження платежів з рахунками.","0,5",0,UC-FR6.5.3,"GAP: Відсутній для базового процесу. Odoo має один з найкращих у своєму класі механізмів реконсиліації. Проте, стандартний CSV-імпортер вимагає ручного налаштування відповідності колонок щоразу, що незручно для регулярної роботи.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Взаєморозрахунки,Управління фінансами / Взаєморозрахунки,account,"Автоматичне відстеження та управління дебіторською/кредиторською заборгованістю на основі фінансових документів (рахунків, оплат).",Критично,Стандартний функціонал,"Використовувати стандартні механізми модуля account. Заборгованість автоматично розраховується на основі валідованих рахунків (invoices) та зареєстрованих платежів. Звіти ""Книга партнера"" (Partner Ledger) та ""Вік заборгованості"" (Aged Receivable/Payable) надають повну картину.","0,5",0,UC-FR6.5.4,"GAP: Відсутній. Це одна з ключових функцій Odoo. Будь-який проведений рахунок автоматично створює борг, а будь-яка прив'язана до нього оплата — його зменшує. Система ідеально відстежує стан розрахунків з кожним контрагентом.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Взаєморозрахунки,Управління фінансами / Взаєморозрахунки,account,"Можливість ручного коригування заборгованості контрагента (напр., списання безнадійного боргу, взаємозалік).",Дуже важливо,Стандартний функціонал,"Використовувати стандартний механізм ""Журнальних записів"" (Journal Entries). Бухгалтер створює бухгалтерське проведення для коригування відповідних рахунків (напр., дебетує рахунок ""Витрати на безнадійну заборгованість"" та кредитує рахунок ""Розрахунки з покупцями"" для конкретного контрагента).","0,5",0,UC-FR6.5.4,"GAP: Відсутній. Це стандартна бухгалтерська операція, яка повністю підтримується в Odoo через ручні бухгалтерські проведення. Основна задача — не розробка, а навчання бухгалтера, як правильно виконувати цю операцію в інтерфейсі Odoo.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Взаєморозрахунки (Локалізація),"Управління фінансами / Взаєморозрахунки, Локалізація",termi_localization_ua ,"Формування та друк документу ""Акт звірки взаєморозрахунків"" у форматі, що відповідає українській практиці.",Дуже важливо,Розробка,"1. Створити майстер (wizard), що дозволить обрати контрагента та період.  2. Розробити логіку, яка збиратиме всі рухи по дебету та кредиту для обраного партнера з account.move.line.  3. Створити кастомний QWeb-звіт, що буде візуально відтворювати стандартну форму акту звірки з початковим та кінцевим сальдо.",2,16,UC-FR6.5.4,"GAP: Критичний розрив для локального документообігу. Стандартний звіт Odoo ""Книга партнера"" (Partner Ledger) містить всі необхідні дані, але не має формату офіційного ""Акту звірки"", прийнятого в Україні. Це обов'язкова доробка для ведення повноцінного обліку з партнерами.    Ризик: Формат акту може мати юридичні нюанси. Важливо узгодити фінальний вигляд документу з бухгалтером.",Не реалізовано,MVP,,,
,10. Фінанси та Бухгалтерія,Облік по юр. особах,Управління фінансами / Облік,"account, base",Автоматична прив'язка фінансових транзакцій та операцій з активами до відповідної юридичної особи.,Критично,Стандартний функціонал,"Використовувати вбудований механізм Odoo Multi-Company.  1. Для кожної юридичної особи (ФОП, ТОВ) створюється запис в res.company.  2. Ключові операційні об'єкти жорстко прив'язуються до компанії: каси та банківські рахунки (account.journal), склади (stock.warehouse), POS-термінали (point_of_sale.config).  3. Всі транзакції, що проходять через ці об'єкти (продаж, списання, оплата), автоматично і безповоротно прив'язуються до компанії, вказаної в їх налаштуваннях.",1,0,UC-FR6.5.6,"GAP: Відсутній. Це фундаментальний механізм Odoo, який працює ""з коробки"".    Коментарі: Це одна з найсильніших сторін архітектури Odoo. Вся робота полягає в правильній початковій конфігурації.    Ключовий момент/Ризик: Ризик не технічний, а конфігураційний. Неправильне налаштування на старті (наприклад, прив'язка каси до неправильного ФОП) призведе до масових помилок в обліку, які буде вкрай складно виправити. Необхідно ретельно спроєктувати та задокументувати карту прив'язки всіх об'єктів до юридичних осіб перед запуском системи.",Базовий функціонал,MVP,,,
,10. Фінанси та Бухгалтерія,Управлінський облік,Управління фінансами / Управлінський облік,account_analytic,"Розробка автоматизованого механізму для розподілу непрямих (накладних) витрат за базами розподілу (напр., пропорційно доходу, площі).",Критично,Придбання модуля_налаштування,Або придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/el_global_analytic_distribution ,8,32,UC-FR6.5.7,GAP: Такого механізму немає у Odoo Community,Не реалізовано,Потрібно уточнити вимогу,,,
,11. Бронювання та Планування,Управління візитом,Управління ресурсами візиту,"termi_operations, custom module","Розробити візуальний інтерфейс для управління шафками в роздягальнях, інтегрований з АСКД, для видачі магнітних ключів та прив'язки шафок до візиту клієнта.",Критично,Розробка,"Pозробити кастомний модуль, що показуватиме завантаженість роздягалень через інтеграцію з АСКД. Повинен бути візард для вибору шафки, де вони представлені у вигляді кнопок, колір яких відповідає статусу зайнятості.
Потрібна модель «Locker» (шафка для роздягальні) зі статусами «вільний», «зайнятий», «не працює/заблокований», а також полями: ідентифікатор АСКД, номер шафки (текстовий) та позначка «не_має_ключа».
Також потрібна модель «Magnetic Key» (магнітний ключ) зі зв'язком до візиту (Appointment) та до шафки (Locker), що міститиме ідентифікатор АСКД для ключа.
Відображення шафок має бути у вигляді кнопок, які динамічно змінюють колір при зміні статусу. Зв'язок із клієнтом (res.partner) відбувається через візит. У картці візиту має бути вкладка з усіма шафками. Шафки без ключа — іншого кольору.
Коли клієнту видають ключ, його сканують, система отримує унікальний код і показує інтерфейс з усіма шафками, статус яких позначено кольором. Менеджер обирає вільну шафку, і відбувається прив'язка ключа до шафки та до візиту, а статус шафки змінюється на «зайнятий».
В інтерфейсі візиту також є поля «магнітний ключ» та «шафка». Альтернативний процес: після першого сканування ключа зчитувачем на рецепції відповідне поле заповнюється, що дозволяє обрати шафку зі списку вільних. Повторне сканування ключа видаляє значення з поля.
Для шафок з позначкою «не_має_ключа»: якщо у візиті поле «магнітний ключ» порожнє, то в полі для вибору шафки відображаються тільки ті, що не потребують ключа.",10,50,UC-FR6.6.8,GAP: Повністю кастомна розробка,Не реалізовано,Зміна вимог,Можлива реалізація візуального інтерфейсу через ряди мені ту ван ,Не закривається базовими Appoinments. Повністю кастомна розробка ,
,11. Бронювання та Планування,,Система бронювання,termi_operations,"Розробити центральну модель Appointment-Visit як ""контейнер"" для всіх даних по візиту клієнта.",Дуже важливо,Кастомізація,"Розробити модель Appointment - Visit, що дозволить збирати, переглядати, та маніпулювати у собі усіма даними що можуть бути у клієнта під час візиту(Прив`язка до шафки, замовлення, час перебування)",4,30,UC-FR6.1.*,GAP: Повністю кастомна розробка,Частково закрито,MVP,Модуль Appintments. Блокер - в картку візиту ще буде додаватися інформація,Частково закривається базовими Appoinments. Але потрібні будуть доробки до моделі бронювання в модулі.,
,11. Бронювання та Планування,Система бронювання,Попереднє бронювання та планування,termi_operations ,Створення базової моделі даних для бронювання (запису).,Критично,Придбання модуля_налаштування,"Розробити нову модель booking.appointment з нуля. Вона повинна містити поля: partner_id (Клієнт), product_id (Послуга), employee_id (Спеціаліст), resource_id (Ресурс/Кабінет), start_datetime, end_datetime, status (вибір: Заплановано, Підтверджено, Скасовано і т.д.). Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",4,10,UC-FR6.6.1,"GAP: Odoo Community не має стандартного модуля для управління бронюваннями/записами на послуги. Це фундаментальний розрив, який потребує створення нової сутності (моделі) в системі.    Ризик: Без цієї основи неможливо реалізувати жодну іншу функцію з цього блоку. Ризик полягає в неправильному проєктуванні моделі на старті, що може ускладнити додавання нової логіки в майбутньому (напр., повторювані бронювання, групові записи).",Закрито стороннім модулем,MVP,,Закривається базовими Appoinments ,
,11. Бронювання та Планування,Система бронювання,Попереднє бронювання та планування,"termi_operations , termi_operations , termi_hr_services ","Розробка логіки для перевірки доступності ресурсів (спеціалістів, кабінетів) у реальному часі.",Критично,Розробка,"Створити метод (наприклад, на моделі booking.appointment), який при запиті на бронювання (для конкретної послуги та часового проміжку) буде виконувати наступні перевірки:  1. Робочий графік спеціаліста (з модуля termi_operations).  2. Перетин з існуючими бронюваннями.  3. Доступність необхідного кабінету/ресурсу.  4. Право спеціаліста надавати обрану послугу (з модуля termi_hr_management). Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",6,30,"UC-FR6.6.1, UC-FR6.6.2","GAP: Це найскладніша логічна частина. Odoo не має вбудованого ""рушія доступності"". Ця логіка повинна враховувати дані з кількох кастомних модулів (графіки, навички, ресурси).    Ризик: Складність та продуктивність. Неоптимальний алгоритм перевірки доступності може працювати дуже повільно, що зробить онлайн-бронювання та роботу адміністратора некомфортними. Ризик неврахування всіх умов (напр., перерви, відпустки) призведе до помилок планування (овербукінг).",Закрито стороннім модулем,MVP,,Закривається базовими Appoinments ,
,11. Бронювання та Планування,Система бронювання (Онлайн),Попереднє бронювання та планування,"termi_operations , website",Створення інтерфейсу для онлайн-бронювання на веб-сайті для клієнтів.,Критично,Розробка,"Розробити кастомний контролер та набір шаблонів (веб-сторінок) для сайту, які реалізують покроковий ""майстер"" бронювання:  1. Крок 1: Вибір послуги.  2. Крок 2: Вибір дати та часу (система показує вільні слоти на основі рушія доступності).  3. Крок 3: Вибір спеціаліста (опціонально).  4. Крок 4: Введення даних клієнта (пошук за телефоном/email для ідентифікації, автоматичне створення нового профілю, якщо клієнта не знайдено) та підтвердження. Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",3,32,"UC-FR6.6.1, UC-FR6.6.9","GAP: Odoo Community не має готового фронтенд-компонента для онлайн-бронювання. Існуючий модуль website_calendar є дуже примітивним і не інтегрований з послугами, ресурсами та складними графіками.    Ризик: Складність розробки зручного та адаптивного інтерфейсу (UI/UX) для клієнтів. Погана реалізація може відштовхнути клієнтів від використання онлайн-запису, нівелюючи всю перевагу автоматизації. Потрібно забезпечити коректну роботу на мобільних пристроях. Якість даних: Без надійної логіки ""знайти або створити"" та валідації дублікатів є високий ризик неконтрольованого створення клієнтів-дублів, що призведе до хаосу в CRM.",Закрито стороннім модулем,MVP,,Закривається аддоном Appoinments ,
,11. Бронювання та Планування,Система бронювання (Шахматка),Попереднє бронювання та планування,termi_operations ,"Розробка візуального інтерфейсу (""шахматка"") для управління бронюваннями.",Критично,Розробка,"Розробити кастомний Odoo View (ймовірно, на базі Calendar View з глибокою кастомізацією) для моделі booking.appointment.   По осі Y - ресурси (співробітники, кабінети), згруповані за типом.   По осі X - часова шкала.   Реалізувати інтерактивні функції: створення запису по кліку на вільний слот, drag-and-drop для зміни часу/ресурсу, фільтрацію, зміну масштабу (день/тиждень). Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",3,48,UC-FR6.6.3,"GAP: Фундаментальний розрив у користувацькому досвіді. Стандартні представлення (Views) Odoo Community (навіть Calendar та Gantt) не призначені для такого типу високоінтерактивного ресурсного планування і не надають необхідної щільності інформації та зручності.  Ризик:  1. Складність розробки: Це вимагає глибокої роботи з JS-фреймворком Odoo (Owl), що складніше та дорожче за стандартні доробки.  2. Продуктивність: Неоптимізована ""шахматка"" може дуже повільно завантажуватися та працювати при великій кількості ресурсів та записів, що критично для роботи рецепції.  3. Оновлення: Глибока кастомізація фронтенду може ускладнити майбутні оновлення версій Odoo.",Закрито стороннім модулем,MVP,,Закривається базовими Appoinments ,
,11. Бронювання та Планування,Система бронювання,Попереднє бронювання та планування,termi_operations ,"Редагування, копіювання та скасування бронювань з урахуванням бізнес-правил.",Критично,Розробка,"1. Редагування/Копіювання: Використовувати стандартні механізми Odoo для редагування та дублювання записів моделі booking.appointment.  2. Скасування: Перевизначити стандартну дію ""Видалити"", щоб вона не видаляла запис, а змінювала його статус на ""Скасовано"". Це збереже історію.  3. Обмеження: Розробити програмне обмеження (Python constraint), яке буде блокувати редагування/скасування, якщо до початку візиту залишилося менше N годин (значення N виноситься в налаштування). Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",1,8,UC-FR6.6.4,"GAP: Стандартний функціонал Odoo дозволяє видаляти записи, але для аудиту нам потрібне ""м'яке видалення"" (зміна статусу). Також відсутня логіка обмеження скасування за часом.    Ризик: Важливо, щоб при скасуванні запису логіка доступності (з UC-FR6.6.2) коректно звільняла часовий слот спеціаліста/ресурсу, роблячи його доступним для інших бронювань.",Закрито стороннім модулем,MVP,,Закривається базовими Appoinments ,
,11. Бронювання та Планування,Система бронювання (Автоматизація),Попереднє бронювання та планування,"termi_operations , termi_hr_services , termi_operations ",Автоматичне призначення вільного спеціаліста на бронювання.,Бажано,Розробка,"Розширити логіку створення бронювання. Якщо поле employee_id (Спеціаліст) не заповнене, система повинна:  1. Отримати список всіх спеціалістів, які можуть надавати обрану послугу.  2. Для кожного з них перевірити доступність на обраний час (використовуючи логіку з UC-FR6.6.2).  3. З отриманого списку вільних спеціалістів обрати одного за заданим правилом (напр., найменш завантажений за день) та підставити його в бронювання. Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",3,12,UC-FR6.6.6,"GAP: Odoo не має ""з коробки"" ніякої логіки для автоматичного розподілу завдань/бронювань між співробітниками на основі їх доступності та навичок.    Ризик: Бізнес-логіка вибору ""найбільш підходящого"" спеціаліста. Якщо реалізувати найпростіший варіант (""перший вільний зі списку""), це може призвести до нерівномірного навантаження на персонал. Потрібно чітко визначити з бізнесом критерії вибору.",Закрито стороннім модулем,MVP,"Можна налаштувати декілька логік, при потребі",,
